0,1,2,3,4,5,6,7,8,9,10,11,12
"[31.0, 'O', 0.5746294899999995, 0.5930837100000019, -0.5192048199999988]","[32.0, 'H', 0.5056359099999987, 0.30001422000000133, -1.4579146399999985]","[52.0, 'O', 0.10459121999999965, -2.5168841299999976, -1.3655652899999993]","[53.0, 'H', -0.08379868000000101, -2.1765097299999994, -0.45181810999999783]","[60.0, 'H', -0.6053137700000022, 0.9026403300000005, 2.7596214900000007]","[80.0, 'H', 1.3439709099999995, 2.201917980000001, -0.3624679300000011]","[121.0, 'O', -0.7537675999999998, -1.6669291599999987, 1.0871749900000012]","[122.0, 'H', -0.43165233000000214, -1.1903792699999975, 1.8906374899999996]","[123.0, 'H', -1.703048980000002, -1.8772794699999977, 1.3219132400000007]","[164.0, 'H', -2.1190162500000014, 1.6530412000000005, 1.215769439999999]","[187.0, 'O', -2.9104914199999996, 0.6913282500000015, -0.043009959999999126]","[188.0, 'H', -2.448131980000003, 0.8918212000000025, -0.8944759799999993]","[189.0, 'H', -2.64644281, -0.2156957499999983, 0.19436548999999914]"
"[35.0, 'H', -0.8018806599999984, -0.1611013000000021, 0.5300079199999992]","[36.0, 'H', -0.019692129999999253, 0.9798087999999971, -0.2013721799999999]",,,,,,,,,,,
"[34.0, 'O', 0.8018806599999984, 0.1611013000000021, -0.5300079199999992]","[36.0, 'H', 0.7821885299999991, 1.1409100999999993, -0.7313800999999991]","[124.0, 'O', -1.08325842, 0.5421367600000018, 2.1092448200000007]","[125.0, 'H', -0.8981139800000015, 1.477542800000002, 1.8760151]","[138.0, 'H', -0.8885863300000025, -1.306323459999998, 1.8400137799999996]",,,,,,,,
"[34.0, 'O', 0.019692129999999253, -0.9798087999999971, 0.2013721799999999]","[35.0, 'H', -0.7821885299999991, -1.1409100999999993, 0.7313800999999991]",,,,,,,,,,,
"[38.0, 'H', -0.12799720999999664, -0.44785955000000044, -0.8834986000000029]","[39.0, 'H', 0.36994709000000014, -0.7301217900000019, 0.5581017899999985]","[103.0, 'O', -0.38380731999999895, -1.31567888, -2.4388050800000016]","[118.0, 'O', 1.4922760600000018, 2.3499443199999988, -0.5672358899999992]","[120.0, 'H', 0.9640335600000007, 1.5319872999999973, -0.36478383000000036]",,,,,,,,
"[37.0, 'O', 0.12799720999999664, 0.44785955000000044, 0.8834986000000029]","[39.0, 'H', 0.4979442999999968, -0.28226224000000144, 1.4416003900000014]","[103.0, 'O', -0.2558101100000023, -0.8678193299999997, -1.5553064799999987]","[104.0, 'H', -0.7630920300000028, -1.6062292199999995, -1.1216912899999976]","[105.0, 'H', -0.960004940000001, -0.2712819400000015, -1.9166515399999966]","[120.0, 'H', 1.0920307699999974, 1.9798468499999977, 0.5187147700000025]","[126.0, 'H', 1.4839862400000001, -0.7181969300000013, -1.9124299799999953]","[182.0, 'H', -2.031336890000002, 1.61780246, -0.9952292899999975]",,,,,
"[37.0, 'O', -0.36994709000000014, 0.7301217900000019, -0.5581017899999985]","[38.0, 'H', -0.4979442999999968, 0.28226224000000144, -1.4416003900000014]","[120.0, 'H', 0.5940864700000006, 2.262109089999999, -0.9228856199999989]",,,,,,,,,,
"[19.0, 'O', -0.8486721400000015, 0.7637874499999988, -2.3627711299999987]","[21.0, 'H', -0.6335760600000029, 0.5216876099999972, -1.4137461599999988]","[28.0, 'O', 2.7311768999999977, 0.1893132799999968, -0.1061830499999985]","[30.0, 'H', 1.7445776099999968, 0.0960579399999979, -0.04366174999999828]","[41.0, 'H', -0.1961949400000016, -0.9653771000000013, 0.07943749000000011]","[42.0, 'H', -0.27895029000000093, 0.46444113999999814, 0.8431681299999987]","[61.0, 'O', -0.5663791000000025, 1.3178382399999968, 2.3428985599999983]",,,,,,
"[21.0, 'H', -0.4373811200000013, 1.4870647099999985, -1.4931836499999989]","[30.0, 'H', 1.9407725499999984, 1.0614350399999992, -0.12309923999999839]","[40.0, 'O', 0.1961949400000016, 0.9653771000000013, -0.07943749000000011]","[42.0, 'H', -0.08275534999999934, 1.4298182399999995, 0.7637306399999986]",,,,,,,,,
"[21.0, 'H', -0.35462577000000195, 0.05724646999999905, -2.2569142899999974]","[30.0, 'H', 2.0235278999999977, -0.36838320000000024, -0.886829879999997]","[40.0, 'O', 0.27895029000000093, -0.46444113999999814, -0.8431681299999987]","[41.0, 'H', 0.08275534999999934, -1.4298182399999995, -0.7637306399999986]","[61.0, 'O', -0.28742881000000153, 0.8533970999999987, 1.4997304299999996]","[62.0, 'H', -0.561052029999999, 1.797206210000006, 1.6714816]","[63.0, 'H', 0.5831820000000008, 0.8114326799999994, 1.9981561200000009]","[68.0, 'H', -1.671199269999999, -0.12385525999999913, 2.0342598699999996]",,,,,
"[28.0, 'O', -0.8419087400000009, -2.35832538, 0.7406518200000001]","[44.0, 'H', -0.4446548899999989, -0.867870779999997, 0.26188599999999695]","[45.0, 'H', -0.13012044999999972, 0.1159879700000026, -0.9570843199999999]","[88.0, 'O', -2.2567732000000014, 1.1185230300000022, 1.4928804299999996]","[89.0, 'H', -1.3376600200000013, 1.0719518500000014, 1.1497530899999973]","[90.0, 'H', -2.7369204899999993, 0.6396254700000021, 0.790229349999997]","[98.0, 'H', 1.0167309399999986, -2.1588445299999997, -0.3714760300000002]",,,,,,
"[28.0, 'O', -0.397253850000002, -1.4904546000000032, 0.4787658200000031]","[29.0, 'H', -0.010491210000001416, -1.9120207600000008, 1.2899326600000016]","[30.0, 'H', -1.383853140000003, -1.583709940000002, 0.5412871200000033]","[43.0, 'O', 0.4446548899999989, 0.867870779999997, -0.26188599999999695]","[45.0, 'H', 0.3145344399999992, 0.9838587499999996, -1.2189703199999968]","[88.0, 'O', -1.8121183100000025, 1.9863938099999991, 1.2309944300000026]","[89.0, 'H', -0.8930051300000024, 1.9398226299999983, 0.8878670900000003]","[90.0, 'H', -2.2922656000000003, 1.507496249999999, 0.5283433500000001]","[97.0, 'O', 2.0512877599999975, -1.6859168200000028, -1.3014678899999979]","[98.0, 'H', 1.4613858299999976, -1.2909737500000027, -0.6333620299999971]",,,
